person_id,title,firm,start_date,end_date,location
26,Junior SQL Server Database Administrator,Jittu Horticulture PLC MIDROC Technology Group,07/2013,07/2016,
27,Oracle Database Administrator,Executive Office for US Attorneys,2014/06,Present,"Washington, DC"
27,Database Administrator II,CACI International,2011/09,2014/06,"Washington, DC"
27,Remedy Consultant,Column Technologies,2009/05,2009/08,"Annandale, VA"
28,Database Administrator,Cigna,07/07,11/13,"Phoenix, AZ"
28,Male Revue Dancer,Labare,10/00,08/02,"Dallas, TX"
29,"Database Administrator, Intern",City of Augusta,05/17,08/19,"Augusta, GA"
29,"Client Support, Intern",City of Augusta,05/16,08/16,"Augusta, GA"
29,Volunteer,The City of Augusta Ga's Cyber & Robotics Camp,2019,Present,"Augusta, GA"
30,Oracle Database Administrator,Delta Airlines,05/2016,Present,"Atlanta, GA, USA"
30,Oracle Database Administrator,Qualcomm,05/2015,05/2016,"San Diego, CA, USA"
30,Oracle Database Administrator,Comcast,02/2014,05/2015,"Westchester, PA, USA"
30,Oracle Database Administrator,Ameriprise Financials,03/2010,02/2014,
31,Database Administrator,HPE/DXC/Perspecta,07/2016,Present,"Bloomfield Hills, MI"
31,Data Modeler/ DBA,Ally Financials,01/2016,07/2016,
31,Database Administrator,University Of Michigan,06/2015,11/2015,
31,Database Administrator,CARFAX Inc,10/2012,06/2015,
31,Programmer/DBA,ORSCHELN FARM & HOME,08/2009,09/2012,
32,Sr Enterprise Database Administrator,Financial Services Company,11/2017,04/2019,"Dallas, TX"
32,Sr Enterprise Database Administrator,HLT,06/2016,10/2017,"Grand Prairie, TX"
32,Sr Enterprise Database Administrator - Consultant,Dallas Cowboys,10/2013,01/2016,"Arlington, TX"
32,Sr Enterprise Database Administrator - Consultant,Lucernex Technologies,11/2010,07/2013,"Plano, TX"
33,Oracle Database Administrator,Cotiviti,06/2015,Present,"Atlanta, GA"
33,Oracle Production Support Database Administrator,FIU College of education,03/2012,05/2015,"Miami, FL"
34,SQL Database Administrator,Wing Zone,03/2016,Present,"Hyattsville, MD"
