person_id,title,firm,start_date,end_date,location
4351,FRONT END DEVELOPER,"WASTE MANAGEMENT, INC",01/17,05/17,
4352,Freelance Web Developer,Freelance/Self employed,08/2017,Present,"Houston, TX"
4352,Senior Process Executive,Cognizant Technology Solutions,01/2018,12/2018,"College Station, TX"
4352,Data Analyst | Web Developer,The Citizens Foundation,01/2017,01/2018,"Houston, TX"
4353,Front End/UI Developer,Progress Solutions,01/2019,Present,"Frisco, TX"
4353,Web Developer Trainee,Susensoft Global Services Inc,01/2018,04/2018,
4353,UI / Web Developer,Sonata Software,02/2014,03/2015,"Hyderabad, Telangana"
4354,IT Ops,Crumbl,03/19,Present,"Orem, UT"
4354,Custom Front End Developer,Boostability,01/18,03/18,"Orem, UT"
4354,Technical Support,Bluehost,02/15,05/17,"Orem, UT"
4355,USER INTERFACE (UI) DEVELOPER,DELTA DENTAL OF CALIFORNIA,10/2018,Present,"San Francisco Bay Area, CA"
4355,FRONT-END WEB DEVELOPER,SHUTTERFLY,11/2015,10/2018,"Redwood City, CA"
4355,FREELANCE FRONT-END WEB DEVELOPER,SF Bay Area CA,05/2015,11/2015,"San Francisco Bay Area, CA"
4356,Web Developer,EGIA,12/2017,Present,"Sacramento, CA"
4356,Freelance Web Developer,Websites by Brionna,11/2016,Present,"Sacramento, CA"
4356,Junior Front-End Developer,Jelly Belly Candy Company,04/2017,04/2017,"Fairfield, CA"
4356,Marketing Intern,The Henley Group,12/2012,01/2013,"Shanghai, CN"
4356,Marketing Intern,Prometheus Real Estate Group,08/2012,10/2012,"San Mateo, CA"
4357,Front- end UX Designer & Developer,Compu-Vision Consultancy Inc,12/18,Present,"West Hartford, CT"
4357,Freelance Designer,JC Gonzalez(Singer),,,
4357,Senior UI/UX Designer & Web Developer,Synergy Telematics Pvt. Ltd,02/18,07/18,
4357,Visual Designer,College Management Application for TechServe Pvt. Ltd,12/16,10/17,"Mumbai, Maharashtra"
4358,Front End Web Developer,Self-Employed,01/17,Present,"Herndon, VA"
4358,Receptionist,Nova Labs,03/17,12/17,"Reston, VA"
4358,Cashier,Wendy's,12/16,02/17,"Herndon, VA"
4358,Farmhand,Leeman Davis Farm,,,"Black Rock, AR"
4359,Freelance Photographer,Thomas Ma,08/18,Present,"New York, NY"
4359,Front-end Developer,Night Owls,07/16,07/18,"New York, NY"
4360,Front End Developer,Fun.com,01/2016,12/2017,"Minneapolis, MN"
4360,Front End Developer,Bed Bath and Beyond,04/2013,07/2014,"Chennai, Tamil Nadu"
4361,Software Engineer,BI WorldWide,06/2018,Present,"Edina, Minnesota"
4361,React JS Developer,RedBox,02/2018,05/2018,"Oakbrook, Illinois"
4361,UI Developer,Delta- airlines,09/2017,02/2018,"Eagan, MN"
4361,UI developer Angular,Charles Schwab,01/2017,08/2017,"Austin, TX"
4361,Front End Web Developer,,08/2016,12/2016,"Dallas, TX"
4361,Web Developer,ICICI Bank,04/2015,04/2015,India
4362,Front End Developer,Delmarva Digital,Present,Present,"Laurel, DE"
4362,Behind the Scenes Tour Guide,Full Sail University,08/16,05/17,"Winter Park, FL"
4362,Deli Worker,Pizza King,05/13,08/15,"Seaford, DE"
4363,Freelance/Self employed,Freelance/Self employed,2017/,Present,"Queens, NY"
4363,Web Design Manager (Front End Developer),National Kidney Foundation,2015/,2017,"New York, NY"
4364,JavaScript Developer,Saatchi & Saatchi,12/2018,03/2019,"New York, NY"
4364,Technology integrator and online content developer,Roberto's Winds,08/2017,12/2018,"New York, NY"
4364,Front-End Developer/Designer,Metroclick,02/2016,05/2018,"New York, NY"
4365,Software Engineer,EPAM Systems,12/2018,06/2019,"Brooklyn, NY"
4365,Front-end developer,Intellectsoft,03/2018,12/2018,
4365,Front-end developer,Group Oxyca inc,03/2017,02/2018,
4365,HTML Developer,Self-Employed,09/2016,05/2017,
4366,Website & Graphic Designer (Volunteer Work),Moll Family Foundation,07/19,08/19,"Evansville, IN"
4366,Business Analyst (Internship),Heritage Petroleum LLC,05/18,05/19,"Evansville, IN"
4366,Front-End Developer (Volunteer Work),Heart 2 Heart with Haiti,01/19,02/19,"Evansville, IN"
4366,IT Technician (Contract),Ivy Tech Community College,05/16,05/17,"Evansville, IN"
4367,Front End Developer/Owner,Carpenter Web Builders,02/17,Present,"Spring Hill, TN"
4367,Immigration Specialist,Populus Group,10/14,01/17,
4367,Owner,Gospel House,09/05,09/14,
4367,Office Manager,Eastlake Athletic Club,05/04,08/05,
4367,Senior Financial Advisor,JPMorgan Chase,09/03,04/04,
4367,Financial Analyst,Polaski & Jones,03/03,08/03,
4367,Personal Financial Planner,American Express Financial Advisors,09/02,02/03,
4368,Senior UX Designer,Zappos.com,12/2015,Present,"Henderson, NV"
4368,UX Designer and Developer,Zappos.com,02/2014,11/2015,
4368,Senior Visual Designer,Zappos.com,06/2011,02/2014,
4368,Visual Designer,Zappos.com,03/2010,06/2011,
4368,UI Designer and Front-End Dev,Graphic Intrigue,06/2008,03/2010,
4368,Creative Designer and Developer,FHCSD,12/2005,06/2008,
4369,Front-End Developer/Designer,Flyhightech.LLC,06/15,Present,"Chicago, IL"
4369,Mail Processing Clerk,United States Postal Service,09/13,01/19,"Franklin Park, IL"
4369,Administrative Assistant,Veterans Resource Center,07/12,05/13,"Chicago, IL"
4369,Automated Logistics Specialist,Army National Guard,09/08,06/12,
4370,Front-End Web Developer,Bain & Company,01/2002,12/2018,"Buffalo, NY"
4371,Front-End Developer,Sigma Soft,2015/10,Present,"Naperville, IL"
4371,Front-End Developer,Onset Technologies,2011/04,2013/05,
4372,Technical Specialist,NIIT Technologies Ltd.,08/2015,09/2018,Greater Noida
4372,Sr. Front End Developer,,08/2011,06/2015,
4372,Sr. Web Designer,HCL Technologies,02/2009,07/2011,Noida
4372,Web Designer,Velocis Systems (P) Ltd,08/2007,02/2009,
4372,Web Designer,Netcomm Labs (P) Ltd,02/2007,07/2007,
4372,Web Designer,"JET WEB, Inc",06/2005,01/2007,
4372,Web designer,Cold Chain Summit,2007,2007,
4373,Front End Web Designer / Graphic Designer,Sylinic-Creative.com,2015,Present,"Paulsboro, NJ"
4373,Digital Marketing Director / Website Administrator,Giant Fitness,10/17,09/19,"Vorhees, NJ"
4373,Junior E-commerce Web Developer,MAK Digital Design,2016,2017,"Cherry Hill, NJ"
4373,Cold Calling / Digital Marketing Associate,Valerie Schlitt & Associates,2014,2016,"Westmont, NJ"
4373,Web Development Internship,Hopeworks of Camden,2013,2014,"Camden, NJ"
4373,Wawa Customer Service Associate,Wawa,06/09,07/13,"Bellmawr, NJ"
4374,Vice President Of Technology And Marketing,Brokers & Engineers,06/2019,Present,"Tampa, FL"
4374,Vice President Of GIAM Strategy,JPMorgan Chase,08/2018,05/2019,"Tampa, FL"
4374,Chief Technology Officer,CopyStrong,08/2013,08/2017,"Sarasota, FL"
4374,Digital Director,WWSB,02/2013,01/2015,"Sarasota, FL"
4374,Sr. Designer / Front End Developer,ProSure Group,04/2012,02/2013,"Sarasota, FL"
4374,Senior Consultant Software Developer Front End Developer,Sears and Hilton,02/2008,02/2013,
4375,NET/Web Designer/ Developer,Nationwide,03/2016,Present,"Columbus, OH"
4375,NET/Web Developer,Washington State Employment Security Dept,04/2015,03/2016,Washington State
4375,NET/Web Developer,AT&T,06/2014,04/2015,"Atlanta, GA"
4375,NET/Web Developer,Ernst & Young,04/2013,06/2014,"Tysons Corner, VA"
4375,NET/UI Developer,IBM,07/2012,03/2013,"New York, NY"
4375,NET/Web Developer,TriHealth,06/2011,07/2012,"Cincinnati, OH"
4375,Front End Developer,CSC,01/2011,06/2011,"San Francisco, CA"
4375,Software Developer,Southwest Airlines,06/2009,01/2011,"Atlanta, GA"
4376,App System Engineer (Contractor),Wells Fargo,09/2016,Present,"Anaheim, CA"
4376,Lead Developer,Celerant Technologies,04/2012,09/2016,"Fountain Valley, CA"
4376,Front-End Developer,CAM Commerce Solutions,04/2010,04/2012,"Fountain Valley, CA"
4376,Support Technician,,04/2005,03/2010,
4376,IT Manager,Shiekh Shoes,04/2003,02/2005,"Hayward, CA"
4377,Freelance Web Design/Development,44 Scott Ave - Various,04/2014,Present,
4377,Senior Web Front End Developer,Capital Connection,10/2014,12/2014,
4377,Applications Support Analyst,AVON PRODUCTS,01/2010,04/2014,
4377,Professional Developer,"CMHS, Gallagher-Concrete, Monica's Creations",11/2008,12/2009,
4377,Senior Developer,DONOVAN DATA SYSTEMS - Open Systems,2007,2008,
4377,Project Leader/ Developer/Software Specialist,PRUDENTIAL FINANCIAL-Equity Group,1999,2007,
4377,Lead Analyst,"BANK OF NEW YORK - South Amboy, NJ, 08879, US",1997,1999,"South Amboy, NJ, 08879, US"
4377,Information Systems Officer,CHASE MANHATTAN BANK,1990,1997,
4377,LAN Applications Developer,CHASE MANHATTAN BANK,,,
4377,End User Support,CHASE MANHATTAN BANK,,,
4377,Applications Development Manager,CHASE MANHATTAN BANK,,,
4377,Applications Development Programmer/Analyst,CHASE MANHATTAN BANK,,,
4378,Sr. UI /UX Architect,First Data,03/17,Present,"Annapolis, MD"
4378,Sr. UI/Java Developer/UI Lead,J.P. Morgan Chase,02/16,09/16,"New York, NY"
4378,Sr. Front- End JS/UI Lead/UX Designer,Scootaway Inc,07/15,08/16,NYC/remote
4378,Sr. Front- End JS/UI Lead/UX Designer,Givingaway Worldwide,04/11,06/15,"New York, NY"
4378,UI Developer/UX Designer,CMS Front,01/07,03/11,"New York, NY"
4378,"Operations Analyst, Equity Trading",Progress LTD,08/04,12/06,"Chelyabinsk, RU"
4378,"Project Manager, Remote Web Analytics",Migdal Stock Exchange Services,09/98,06/04,IL
4379,Senior Front End Developer,Allianz Partners,12/18,Present,"Henrico, VA, 23223, US"
4379,Front End Developer and UI/UX Designer,"Toano, VA",12/15,12/18,"Toano, VA"
4379,Senior Content Manager/ Front End Developer,Techead,07/14,12/15,"Richmond, VA"
4379,Front End Developer,Techead,2014,12/2014,"Chesterfield, VA"
4379,Web Content Manager (Full Time Contractor),HSBC,11/13,07/14,"Glen Allen, VA"
4379,Graphic Artist (Permanent PT),MGFX,04/13,12/13,"Glen Allen, VA"
4379,"eCommerce, Cust Serv & Front End Web Developer (Full Time)",eBay Stores,07/13,10/13,"Glen Allen, VA"
4379,Email Project Manager,,11/12,02/13,"Richmond, VA"
4379,Graphic Design Intern,MGFX,06/12,11/12,"Glen Allen, VA"
4379,Test & Learn Sales Training Intern and WIKI Administrator,Piloted Test and Learn's One Place Confluence,10/10,11/12,"Glen Allen, VA"
4379,Program Director,Music Resource Center,2000,2002,"Charlottesville, VA"
4380,"SEO Analyst, Strategist and Content Developer, Consultant",Western Union,03/18,Present,"Englewood, CO"
4380,Front- End Web Developer & UI/UX Designer,OneChoice Design LLC,01/10,Present,"Greenwood Village, CO"
4380,Web Content Developer,"Western Union, Digital Division",02/12,05/14,"Englewood, CO"
4380,Marketing Communications Specialist,Dearborn National,01/09,09/12,"Greenwood Village, CO"
4381,FRONT END DEVELOPER,MACY'S,08/15,08/16,"Atlanta, GA"
4381,JAVA FRONT END DEVELOPER,OPTUM INSIGHT,08/09,08/10,"Chennai, Tamil Nadu"
4382,Front-End Developer,PARSEC MEDIA,09/2017,Present,"New York, NY"
4382,Digital Operations Coordinator,YASHI,06/2017,08/2017,"Toms River, NJ"
4382,"Publisher Development, Direct",,10/2016,05/2017,
4382,Restaurant Group Sales Coordinator,CAESARS ENTERTAINMENT,04/2015,09/2016,"Las Vegas, NV"
4382,Field Account Executive,DHL EXPRESS,09/2014,04/2015,"Las Vegas, NV"
4382,Women's Vice President,FRONT RUNNERS NEW YORK,01/2014,12/2014,"New York, NY"
4382,Key Account Manager,PINCHME,04/2014,06/2014,"New York, NY"
4382,Internet Recruitment Consultant,MONSTER.COM,06/2011,03/2014,"New York, NY"
4382,Small Business Account Manager,,,,
4382,Pride Run Sponsorship Coordinator,,02/2013,06/2013,
4382,Team Captain,TCNJ TRACK AND FIELD,09/2007,05/2011,"Ewing, NJ"
4383,UI/ Front End Software Developer,Walt Disney World Resort Technology,04/2018,Present,"Orlando, FL"
4383,Lead Front End Developer,Lost Society Media & Marketing,03/2018,05/2018,"Lake Nona, FL"
4383,"Instructional Web development: HTML, CSS, and basic JavaScript",Endocrine Nurses Society,02/2018,05/2018,
4383,"Yearbook Design Lead- Adobe Photoshop, Illustrator, and Wordpress Classroom teacher",,02/2006,02/2018,
4384,Senior Developer,Pershing BNYM,04/2017,Present,"Jersey City, NJ"
4384,"Consultant, Senior UI/UX Developer, .Net Developer",Randstad Technology /Bank Of American Mrill Lynch,04/2016,03/2017,"New York, NY"
4384,"Senior Web Developer, Front- End Developer",NYC Dept. of Education,11/2015,04/2016,"New York, NY"
4384,"Senior Web Developer, Application Developer",Effective Media Service Inc,01/2015,10/2015,"Montvale, NJ"
4384,Web Developer (Contractor),Microsoft Inc,10/2014,12/2014,"Redmond, WA"
4384,Sr. .NET Developer,KPMG LLP,06/2014,10/2014,"Montvale, NJ"
4384,"ASP.NET, MVC, C#, C++ Developer","Kyklos Bearing International, LLC",10/2010,07/2012,"Sandusky, OH"
4384,"ASP.NET, C#, C++ Developer",SBA Global Logistic Services,08/2009,09/2010,"Woodbury, NY"
4384,"ASP.Net, C#, C++, WCF, Windows Service Developer",Tropical Cheese Industries,07/2008,07/2009,"Perth Amboy, NJ"
4384,"ASP.Net, C#, C++, WCF, Windows Service Developer",Tropical Cheese Industries,07/2008,07/2009,"Perth Amboy, NJ"
4384,"ASP.NET, C#, C++ Developer",Roadtex Transport Inc,08/2012,06/2014,"Somerset, NJ"
4385,Freelance UX Architect,Self-Exmployed,06/2019,Present,"Grapevine, TX"
4385,UX Developer,Ascend Marketing,09/2018,06/2019,"Grapevine, TX"
4385,Freelance UX Architect,Self-Exmployed,03/2017,09/2018,"Amarillo, TX"
4385,UX Strategist | Digital Marketing Director,Happy State Bank,06/2013,03/2017,"Amarillo, TX"
4385,UX Architect,betterMD.net Inc,03/2010,06/2013,"Austin, TX"
4385,Sr. Front- End Developer,SapientRazorfish Microsoft,01/2008,03/2010,"Austin, TX"
4385,UX Strategist |Process Engineer |Software Project Manager,Dell Inc,01/2000,10/2007,"Austin, TX"
4385,Lead Developer,CleanWeb Inc,01/1998,12/1999,"Lubbock, TX"
4386,Owner Lead Developer / Designer,Kaos Kreations Web Design,06/00,Present,"Beaverton, OR"
4386,Web Developer / SEO Expert,Effective Web Solutions,10/17,05/19,"Vancouver, WA"
4386,Web Developer / Internet Marketing Manager,Turtledove Clemens Inc,05/15,12/17,"Portland, OR"
4386,Front End Developer,Parthenon Software Group,05/12,11/14,"Portland, OR"
4386,Chief Technology Officer,The Lab Productions,04/00,08/05,"Salisberry, MA"
4387,"INDEPENDENT CONTRACTOR, Freelancer",Freelance/Self employed,2005,Present,"Weehawken, NJ"
4387,Founder,ScaleUp Media Marketing,Present,Present,"Weehawken, NJ"
4387,Director of Web Development,ArborCrowd,10/2017,02/2018,"New York, NY"
4387,Front End Web Developer,CENTER FOR COURT INNOVATION,2010,03/2016,"New York, NY"
4387,Web Developer/Designer,VONAGE HOLDINGS,2005,2010,"Holmdel, NJ"
4388,FREELANCE DESIGNER / FRONT END DEVELOPER,Art Matter Studio,2016,Present,"New York, NY"
4388,DESIGNER / PRODUCTION ARTIST / STUDIO MANAGER,DDB WORLDWIDE,2004,2016,"New York, NY"
4388,"FREELANCE ART DIRECTOR, ILLUSTRATOR, DESIGNER, PRODUCTION, AND LAYOUT ARTIST","The Milestone School, Ketchum, Scholastic, Know Magazine, ICS Magazine, FCI Magazine, Commercial Floor Care Magazine, VONS Markets, L.A. Parent Magazine, San Diego Parent Magazine, Department of Water and Power, Business News Publishing, USC-Science Lab, International House of Pancakes",,,
4389,Freelance Website Developer,Luis Sebastian.NET,01/2012,Present,"Los Angeles, CA"
4389,Visual Designer / Front- end Developer,TW3 Entertainment,12/2015,12/2017,"Santa Monica, CA"
4389,Web Developer | Visual Designer | Amazon Seller Central Specialist,Cyantek LED Lighting,06/2012,08/2015,"Downey, CA"
4389,Graphic Designer,Studio CTS,07/2008,09/2012,"Long Beach, CA"
4389,Web Developer,Motion Virtual Technologies,07/2010,06/2012,"Hollywood, CA"
4389,Web Master,Swag Magazine CA,01/2008,06/2010,"Oakland, CA"
4390,Remote Web & Graphic Designer / Music Teacher,Freelance Independent Contractor,2018/02,Present,"Owens Cross Roads, AL"
4390,Service Advisor/Writer,Campers Inn RV,2019/03,2019/08,"Madison, AL"
4390,Web & Graphic Designer / Front End Developer,"Cintel Strategies, Inc.",2016/04,2018/02,"Huntsville, AL"
4390,Web & Graphic Designer / Business Process Modeler & Scheduler,Freelance Independent Contractor,2014/11,2016/03,"Owens Cross Roads, AL"
4390,Retail Sales Associate / Web & Graphic Designer / Marketing & eCommerce,The Fret Shop,2012/05,2014/11,"Huntsville, AL"
4390,Web & Graphic Designer / Music Teacher,Freelance Independent Contractor,2009/02,2012/05,"Owens Cross Roads, AL"
4390,Web & Graphic Designer / Front End Developer,Baron Services,2008/02,2009/02,"Huntsville, AL"
4390,President & Owner / Web & Graphic Designer,"Smooth Edge Designs, LLC",2005/10,2008/02,"Hampton Cove, AL"
4390,Oracle Systems Developer / Web & Graphic Designer / Help Desk DB Admin,"Gradkell Systems, Inc",1991/09,2005/10,"Huntsville, AL"
4390,Shipping / Receiving,Intergraph Corporation,1988/06,1991/09,"Madison, AL"
4391,Front End Developer,Geomodules/Self-employed,03/11,Present,"Philadelphia, PA"
4391,Security guard,Roman Sentry,2014,02/2016,"Philadelphia, PA"
4391,Lockbox Associate,Wachovia bank,04/06,06/07,"Philadelphia, PA"
4391,Shift Manager,McDonald's,03/04,02/06,"Philadelphia, PA"
4392,Senior Front End Developer,California Pizza Kitchen,03/2016,Present,"Playa Vista, CA"
4392,Front End Developer,Vision Design Studio,05/2014,03/2016,"Long Beach, CA"
4393,4th Grade Math and Science Teacher,Prince George's County Public Schools,08/18,06/19,"Upper Marlboro, MD"
4393,5th Grade Math and Science Teacher,Prince George's County Public Schools,08/17,06/18,"Upper Marlboro, MD"
4393,Package Handler,FedEx,05/17,08/17,
4393,Substitute Teacher,Prince George's County Public Schools,03/17,06/17,
4393,Front-End Developer,"Matrix Group International, Inc",09/05,01/17,
4393,Web Developer,OAO/Lockheed Martin,08/01,08/05,
4393,Web Developer,Computer Sciences Corporation,04/01,08/01,
4393,Supervisor Conversion Applications,BOWNE of Washington DC,10/95,03/01,"Washington, DC"
4393,Administrative Assistant,United States Senator Howell Heflin,05/95,10/95,
4393,Administrative Assistant,United States Senate Judiciary Committee,06/86,02/95,
4394,Front End Developer,16Blocks LLC,2016/,Present,"New York, NY"
4394,IT Manager,Mangia,2016/,2016/,
4394,Freelance,Self,2013/,2016/,
4394,Pollster Support,CBS News,2004/,2013/,
4395,"Sr. Full-Stack Manager, Engineer",Jump Ramp Games Inc,2016,Present,"New York, NY"
4395,Instructor on Front-end Web Development and Backend Programming,"General Assembly, Inc",2014,2018,"New York, NY"
4395,Full-Stack Web Developer,Jump Ramp Games Inc,2013,2016,"New York, NY"
4395,Junior Front-end Developer / Programmer,Cordsel Technologies,07/2013,02/2015,"New York, NY"
4395,Engineering & Product Manager | Brand Development Consultant,MANOLUCCI HANDBAG MANUFACTURING,2001,2013,
4395,Designer & Director of Operations,Xiao Ling Accessories Corp,2007,2012,"Hong Kong, HK"
4395,Implemented efficient business strategies that generated a revenue of about $30.26 Million between 2005 and 2008,"BYSOG New York (Luxury Leather Goods Brand, Division of Manolucci)",2005,2010,
4395,Studio Manager and Bookings Representative,ALIEN FLYER Recording Studios & 36 Chambers WU-TANG Studios,1997,2001,
4396,Web Application Developer,KJMB solutions,05/2019,Present,"McKinney, TX"
4396,Quality Engineer intern,Platform by Per Scholas,01/2019,04/2019,"Dallas, TX"
4396,IT Specialist,Samsung Digital System America (SDSA),2017,2018,
4396,Front end developer/ Project Manager,Asti Manufacturing Corp,2014,2017,
4396,Web Master,Handbagshopping.com,2014,2014,
4396,QA Manual Tester,Assured Digital Systems Inc,2013,2014,
4396,Assistant Manager,LaQunita Hotel & Suites,2011,2013,
4396,Sales Associate/Inventory Manager,Unik Beauty Supply,2009,2011,
4396,Project Manager/QA Tester,GANYMWONRI Inc,2007,2008,
4396,Project Manager/QA Tester,CDI Holdings Inc,2006,2006,
4396,Project Manager/QA Tester,Biz Click LLC,2004,2006,
4396,Web Developer/Server Administrator,Tech & Tech LLC,2000,2003,
4397,FRONT END WEB DEVELOPER/DESIGNER,BIZIQ,09/2017,Present,"Phoenix, AZ"
4397,Digital Marketing Specialist,BIZIQ,12/2016,09/2017,"Phoenix, AZ"
4397,Social Media Communications Specialist,Freelance/Self employed,10/2015,05/2017,"Phoenix, AZ"
4397,Marketing Content Manager,Post-production,05/2012,12/2015,"Scottsdale, AZ"
4397,Trade Show Coordinator,O.T.R. Marketing,10/2008,11/2014,"Tempe, AZ"
4398,Content Strategist,Indeed,07/18,Present,"Austin, TX"
4398,UX Content Strategist,RetailMeNot,05/17,06/18,"Austin, TX"
4398,"Managing Editor, Digital",Whole Foods Market,01/14,01/17,"Austin, TX"
4398,Managing Editor,AMD,01/11,01/14,"Austin, TX"
4398,Senior Editor,AMD,01/11,01/11,"Austin, TX"
4398,"Senior Web Designer & Front-End Developer, AMD Liaison",Creative + Marketing,01/03,01/11,"Austin, TX"
4398,Freelance Writer & DVD Production Manager,Summer Productions,01/03,01/04,"Alexandria, VA"
4398,Web Content Manager,Express Digital,01/00,01/02,"Austin, TX"
4398,Writer,Summer Productions,01/97,01/98,"Alexandria, VA"
4399,UI/UX Designer,Modis,12/17,Present,"Eldersburg, MD"
4399,UI/UX Designer and Developer,Modis,06/17,12/17,
4399,Front End Web Developer,TerpSys,11/15,05/17,
4399,UX Developer,Hoya Vision Care UI,08/14,09/15,
4399,Web Designer,Allied Electronics,01/11,08/14,
4399,Sr. Web Designer,MarketSmart,08/10,10/10,"Beltsville, MD"
4399,Sr. Web Designer,Visual Data Systems,09/08,08/10,
4399,Web Designer/ Developer,Global Net Solutions,07/08,09/08,"Rockville, MD"
4399,Sr. Web Designer,Edison Worldwide,08/06,06/08,"Baltimore, MD"
4399,Web Designer,Erickson Communities,10/04,08/06,"Baltimore, MD"
4399,Graphic Designer/ Web Designer,Swales Aerospace,12/00,10/04,"Beltsville, MD"
4400,Lead Software Development Engineer,FICO,09/2018,Present,"San Diego, CA"
4400,Sr. Web Developer,Aberdeen,10/2017,07/2018,"San Diego, CA"
4400,Lead Instructor / Sr. Software Developer,Origin Code Academy,03/2016,07/2017,"San Diego, CA"
4400,Lead Front End Developer,Triple Crown / ViaSat,09/2015,02/2016,"Carlsbad, CA"
4400,SR. SOFTWARE DEVELOPER,EDSI Corporation,09/2014,07/2015,"San Diego, CA"
4400,INTERIM DoD SECURITY CLEARANCE CONTRACT WEB DEVELOPER,First Comp / Markell,09/2012,07/2014,"Omaha, NE"
4400,SR. SOFTWARE DEVELOPER,Life Technologies,02/2011,08/2012,"Carlsbad, CA"
4400,CONTRACT WEB DEVELOPER,Best Buy / Dealtree.com,06/2010,02/2011,"Irvine, CA"
4400,SR. SOFTWARE DEVELOPER,Sempra Energy / SDG&E Customer Care,08/2006,06/2010,"San Diego, CA"
4400,CONTRACT WEB DEVELOPER,San Diego Community College District,03/2004,07/2006,"San Diego, CA"
4400,CONTRACT WEB DEVELOPER,Invitrogen Corporation,11/2003,02/2004,"Carlsbad, CA"
4400,SENIOR ANALYST,SBC Services,05/2003,10/2003,"San Diego, CA"
4400,SENIOR WEB DEVELOPER,Genisys Financial Corp,09/2002,05/2003,"San Diego, CA"
4401,"Lead Software Engineer, Solutions Architect",Undisclosed,03/15,Present,"San Francisco Bay Area, CA"
4401,Director of Online Operations,"Auto Tours International, Inc.",01/07,03/14,"Mountain View, CA"
4401,Senior UI Developer - PHP/JavaScript,"Offermatic, Inc",03/10,04/11,"San Mateo, CA"
4401,Project Manager/E-commerce,"B-Bridge International, Inc.",01/08,01/10,"Mountain View, CA"
4401,Senior Front- end Developer/QA Engineer,"Tonic, Inc.",04/06,06/07,"Palo Alto, CA"
4401,Online Marketing Manager,Travel Express LA,01/01,01/07,"Los Angeles, CA"
4401,Web Developer/Ecommerce Manager,Wildcat Press LLC,01/01,01/05,"Los Angeles, CA"
4402,Principal Consultant,Arson Digital,2018,Present,"Houston, TX"
4402,Director of Digital Marketing,Braeden Ortt Racing,2017,2019,
4402,Web Development and Design Manager,SERVICE CORPORATION INTERNATIONAL (SCI),2015,2018,
4402,Senior Front-End Web Developer/Technical Lead,SERVICE CORPORATION INTERNATIONAL (SCI),2013,2015,
4402,Web Marketing Analyst,SERVICE CORPORATION INTERNATIONAL (SCI),2008,2013,
4402,Customer Service Dispatch,2000 Satellite Dock Check-In,2002,2005,
4402,Delivery Service Representative,,1996,2000,
4402,Stock Manager,,1995,1996,
4402,Telemarketing Order Filler,,1993,1995,
4403,Front-end Developer,Freelance,06/2016,Present,"Los Angeles, CA"
4403,Front-end Developer,TLLC Beauty,,,"Los Angeles, CA"
4403,Front-end Developer,Free Code Camp,11/2015,Present,
4403,Hospitality Bazaar by Jose Andres,,09/2014,Present,"Beverly Hills, CA"
4404,Digital/Web Producer - Consultant,JP Morgan Chase c/o Aquent,2019/03,2019/05,"New York, NY"
4404,Content Coordinator - Consultant,AMEX - Plenti c/o Aquent,2017/09,2018/07,"New York, NY"
4404,"Webmaster, Digital Marketing & eCommerce",NESTLE Nespresso,2015/05,2017/04,"New York, NY"
4404,Front - End Web Developer,Barnes & Noble,2014/07,2015/05,"New York, NY"
4404,Web Production Associate - Contract,WebMD,2014/04,2014/06,"New York, NY"
4404,Digital Media Specialist/PM,Benjamin Moore & Co,2012/07,2013/07,"Montvale, NJ"
4404,Web Content Manager,The Bank of NY Mellon,2006/09,2012/07,"New York, NY"
4405,Software Engineer,InRhythm,06/2019,08/2019,"New York, NY"
4405,Full stack web developer / Project manager,LG CNS America,03/2014,05/2019,
4405,Full stack web developer / Software engineer,Samsung SDS America,04/2011,02/2014,
4405,SW dev team leader / Smartphone application developer,UMIX,11/2008,03/2011,
4405,Interactive digital-art developer / interactive web application developer,D'strict,07/2007,08/2008,
4405,Interactive web application developer,Publicis Modem Portfolio,03/2006,06/2007,
4405,Front- end web developer,Agentive,02/2005,02/2006,
4405,Online ecommerce system engineer & Business owner,Dansoh,11/2003,02/2005,
4405,Webmaster,Gamebridge,10/2000,01/2003,
4405,Server administrator,Korea FM systems,07/1996,08/2000,
4406,SENIOR WEB DESIGNER/ FRONT- END DEVELOPER,Park Group Solutions,2018,Present,"Newtown, CT"
4406,SENIOR INTERACTIVE DESIGNER/ FRONT- END DEVELOPER,ExecuNet,2006,2017,"Norwalk, CT"
4406,WEB DESIGNER,Tech Depot,1999,2006,"Trumbull, CT"
4406,Senior Artist,"IBM (Computer Graphics Resources, CGR)",03/1994,12/1998,"White Plains, NY"
4407,Independent Consultant,Independent Consultant,08/2015,Present,"Virginia, USA"
4407,"Head, Web Development Services / Web Content Manager",70th Precinct Limited,03/2014,08/2015,Nigeria
4407,Web Content Developer / Project Manager,Basement Multimedia,01/2008,03/2014,Nigeria
4407,Web Content Manager,Neo Multimedia Concepts,01/2006,01/2008,Nigeria
4407,Multimedia Instructor / Academic Counselor (Faculty),National Institute for Information Technology (NIIT),10/2004,01/2006,Nigeria
4408,Freelance Web Design/Development,"GSC Snow, M&J Recycling, StarWash et al",12/2014,Present,"Capital Connection South Amboy, NJ"
4408,Senior Web Front End Developer,NATIONAL HOCKEY LEAGUE - IT Development Group,09/2014,12/2014,
4408,Professional Developer Senior Developer,AVON PRODUCTS,01/2010,09/2014,
4408,Professional Developer Senior Developer,"CMHS, Gallagher-Concrete, Monica's Creations",11/2008,12/2009,
